term,Coefficient,StdErr,P_value,CI_lower,CI_upper,P_value_FDR,Significant_FDR,model_name,n_events,n_reefs
Intercept,0.7790944261601795,0.11285753207193418,5.079224198855746e-12,0.5578977279151145,1.0002911244052446,,,juv_loss,64,52
"C(seq_category_model, Treatment(reference='Isolated_Heatwave'))[T.H_to_H]",-0.11445558804402617,0.1561290747705202,0.46350773954563707,-0.420462951533807,0.19155177544575464,0.5214462069888417,False,juv_loss,64,52
"C(seq_category_model, Treatment(reference='Isolated_Heatwave'))[T.Isolated_Storm]",-0.33316648344100375,0.1661142684206818,0.04489398830783536,-0.6587444668637593,-0.007588500018248179,0.06734098246175305,False,juv_loss,64,52
"C(seq_category_model, Treatment(reference='Isolated_Heatwave'))[T.S_to_H]",-0.7021953504803933,0.13545262422133106,2.1709999276515745e-07,-0.9676776155656399,-0.43671308539514664,1.953899934886417e-06,True,juv_loss,64,52
"C(seq_category_model, Treatment(reference='Isolated_Heatwave'))[T.S_to_S]",-0.763158288045694,0.23762714190261458,0.001320077680518559,-1.2288989279240072,-0.29741764816738064,0.002970174781166758,True,juv_loss,64,52
storm_exposure_seq_c,0.008964954041942513,0.004000440617565657,0.025026615535776106,0.0011242345092226536,0.016805673574662373,0.04504790796439699,True,juv_loss,64,52
heat_exposure_seq_c,0.0229865481650844,0.016997641961588896,0.17626738215159354,-0.010328217901736596,0.056301314231905396,0.2266294913377631,False,juv_loss,64,52
baseline_hc_c,0.010783101278603569,0.0023980415014462643,6.903952662740155e-06,0.006083026302336535,0.015483176254870602,3.10677869823307e-05,True,juv_loss,64,52
start_year_c,-0.03907558041730264,0.011578508598834128,0.000738593957031077,-0.06176904026570486,-0.016382120568900427,0.002215781871093231,True,juv_loss,64,52
region_lat_c,0.003996641677307196,0.015387820237212855,0.7950738984335133,-0.02616293178820659,0.03415621514282098,0.7950738984335133,False,juv_loss,64,52
