term,Coefficient,StdErr,P_value,CI_lower,CI_upper,OddsRatio,OR_CI_lower,OR_CI_upper,model_name,sample_scope,n_events,n_reefs
Intercept,0.6398716291200369,0.8522218441689332,0.45275645408724374,-1.0304524922893785,2.310195750529452,1.896237442011106,0.356845454215181,10.076396922003587,fate_recovery_glm,strict,45,38
"C(disturbance_group, Treatment(reference='Heat-linked'))[T.Storm-linked]",-0.16473951659905353,0.8843724876846358,0.8522264235000867,-1.8980777413790322,1.5685987081809252,0.8481145950915687,0.14985640530138145,4.799917393992799,fate_recovery_glm,strict,45,38
baseline_hc_c,-0.0634201168680605,0.030990784804575292,0.040715208648550556,-0.12416093893765925,-0.002679294798461747,0.938549090546987,0.8832376821093575,0.9973242913083861,fate_recovery_glm,strict,45,38
