term,Coefficient,StdErr,P_value,CI_lower,CI_upper,OddsRatio,OR_CI_lower,OR_CI_upper,model_name,sample_scope,n_events,n_reefs
Intercept,1.0871258188306747,0.6582001589337685,0.09860296880514759,-0.20292278729805102,2.3771744249594002,2.9657377433860717,0.8163412709074795,10.774415891980011,fate_recovery_glm,supplement_only,35,32
"C(disturbance_group, Treatment(reference='Heat-linked'))[T.Storm-linked]",-0.7363037380327664,0.8107806662804843,0.36380335776110595,-2.325404643303904,0.8527971672383714,0.4788807168096614,0.09774388463974727,2.3462003968571556,fate_recovery_glm,supplement_only,35,32
baseline_hc_c,-0.04634139882811546,0.030077154303421658,0.12337745377403292,-0.1052915380202758,0.012608740364044892,0.9547159676342677,0.9000620820149062,1.012688565676896,fate_recovery_glm,supplement_only,35,32
Intercept,0.9275278134403822,0.5553259074586296,0.09487179282132573,-0.16089096486055499,2.0159465917413195,2.528251136803191,0.8513848969173784,7.507830869317074,fate_recovery_glm,strict_plus_supplement,80,46
"C(disturbance_group, Treatment(reference='Heat-linked'))[T.Storm-linked]",-0.5079974323687354,0.6241865636625689,0.4157279522971734,-1.731380616781188,0.7153857520437171,0.6016993167021034,0.1770398170218463,2.0449753835607667,fate_recovery_glm,strict_plus_supplement,80,46
baseline_hc_c,-0.054444867838010724,0.02394110518584322,0.02295896906207699,-0.10136857175234856,-0.0075211639236728925,0.9470107181669253,0.9035999300938383,0.9925070492534239,fate_recovery_glm,strict_plus_supplement,80,46
