term,Coefficient,StdErr,P_value,CI_lower,CI_upper,P_value_FDR,Significant_FDR,model_name,n_events,n_reefs
Intercept,1.7656184628814087,0.4727868844952679,0.00018809506256377704,0.838973196907785,2.6922637288550324,,,juv_recovery_rate,39,34
"C(seq_category_model, Treatment(reference='Isolated_Heatwave'))[T.H_to_H]",-0.6925974084654185,0.8743834619766416,0.42830352484447887,-2.406357502617084,1.0211626856862468,0.4848074131967489,False,juv_recovery_rate,39,34
"C(seq_category_model, Treatment(reference='Isolated_Heatwave'))[T.Isolated_Storm]",0.07530051889344441,0.8768964668779267,0.9315684732838414,-1.6433849743577122,1.793986012144601,0.9315684732838414,False,juv_recovery_rate,39,34
"C(seq_category_model, Treatment(reference='Isolated_Heatwave'))[T.S_to_H]",-0.9234706836882975,0.6230414739663918,0.1382876796226322,-2.1446095335371753,0.29766816616058,0.4002558975897282,False,juv_recovery_rate,39,34
"C(seq_category_model, Treatment(reference='Isolated_Heatwave'))[T.S_to_S]",-0.9827215209150197,1.2477668325726847,0.4309399228415546,-3.4282995738611013,1.4628565320310618,0.4848074131967489,False,juv_recovery_rate,39,34
storm_exposure_seq_c,0.015679070213711968,0.019032165887057636,0.41004210119508566,-0.02162328947271281,0.052981429900136746,0.4848074131967489,False,juv_recovery_rate,39,34
heat_exposure_seq_c,0.12502808581520364,0.07705476356436113,0.10467764316474877,-0.025996475608193376,0.2760526472386007,0.4002558975897282,False,juv_recovery_rate,39,34
baseline_hc_c,-0.015151888168887805,0.012416882129019395,0.222364387549849,-0.039488529942044846,0.009184753604269236,0.4002558975897282,False,juv_recovery_rate,39,34
start_year_c,-0.2828168341660859,0.056855565554592105,6.548267572047579e-07,-0.39425169497374246,-0.1713819733584293,5.893440814842821e-06,True,juv_recovery_rate,39,34
region_lat_c,0.1031298852345042,0.0806289357372196,0.20087313875511958,-0.05489992492224069,0.26115969539124906,0.4002558975897282,False,juv_recovery_rate,39,34
