term,Coefficient,StdErr,P_value,CI_lower,CI_upper,P_value_FDR,Significant_FDR,model_name,n_events,n_reefs
Intercept,-1.6398112972648433,0.491096173282769,0.0008405519051655327,-2.6023421098445123,-0.6772804846851745,,,juv_change_nadir,64,52
"C(seq_category_model, Treatment(reference='Isolated_Heatwave'))[T.H_to_H]",0.46092186634067944,0.38011548508433984,0.225288998767041,-0.2840907943905988,1.2059345270719577,0.25345012361292113,False,juv_change_nadir,64,52
"C(seq_category_model, Treatment(reference='Isolated_Heatwave'))[T.Isolated_Storm]",1.7283485343750757,0.7064035974299825,0.014417596407334605,0.3438229248627789,3.112874143887373,0.025951673533202286,True,juv_change_nadir,64,52
"C(seq_category_model, Treatment(reference='Isolated_Heatwave'))[T.S_to_H]",2.2465383071048937,0.5461426988035212,3.897659198540406e-05,1.1761182870304856,3.316958327179302,0.00035078932786863654,True,juv_change_nadir,64,52
"C(seq_category_model, Treatment(reference='Isolated_Heatwave'))[T.S_to_S]",3.0203415691176527,1.0039305965476337,0.002625267142099135,1.052673756906479,4.988009381328826,0.007601212547306388,True,juv_change_nadir,64,52
storm_exposure_seq_c,-0.04074664738553935,0.013901781598047204,0.003378316687691728,-0.06799363863865354,-0.01349965613242515,0.007601212547306388,True,juv_change_nadir,64,52
heat_exposure_seq_c,-0.062413071120928386,0.03638317357661349,0.08626499066283329,-0.13372278097436016,0.008896638732503397,0.11091213085221423,False,juv_change_nadir,64,52
baseline_hc_c,-0.02122635607468549,0.005830513218217119,0.0002720415551207803,-0.03265395199377577,-0.00979876015559521,0.0012241869980435113,True,juv_change_nadir,64,52
start_year_c,0.07789250535067621,0.03661477904822641,0.03339088820242651,0.006128857114260686,0.14965615358709172,0.05008633230363976,False,juv_change_nadir,64,52
region_lat_c,-0.030525730951852112,0.03252517997929542,0.34797410043732224,-0.09427391230195435,0.03322245039825013,0.34797410043732224,False,juv_change_nadir,64,52
