raw_year,decimal_date,year_source,aims_year,reef_name,source_file,column,year_changed
2020,2020.1068493150683,date,2020,Agincourt_Reef_No_1,fish_Herbivores.csv,Fish_Herbivores,False
2021,2020.8493150684928,date,2021,Agincourt_Reef_No_1,fish_Herbivores.csv,Fish_Herbivores,False
2023,2022.8328767123287,date,2023,Agincourt_Reef_No_1,fish_Herbivores.csv,Fish_Herbivores,False
2023,2022.8328767123287,date,2023,Agincourt_Reef_No_1,fish_Herbivores.csv,Fish_Herbivores,False
2024,2023.6657534246572,date,2024,Agincourt_Reef_No_1,fish_Herbivores.csv,Fish_Herbivores,False
2024,2023.6657534246572,date,2024,Agincourt_Reef_No_1,fish_Herbivores.csv,Fish_Herbivores,False
2025,2024.7616438356165,date,2025,Agincourt_Reef_No_1,fish_Herbivores.csv,Fish_Herbivores,False
2025,2024.7616438356165,date,2025,Agincourt_Reef_No_1,fish_Herbivores.csv,Fish_Herbivores,False
2026,2025.717808219178,date,2026,Agincourt_Reef_No_1,fish_Herbivores.csv,Fish_Herbivores,False
2026,2025.717808219178,date,2026,Agincourt_Reef_No_1,fish_Herbivores.csv,Fish_Herbivores,False
2007,2007.019178082192,date,2007,Agincourt_Reef_No_1,juvenile_ABUNDANCE.csv,Juveniles,False
2008,2008.3205479452051,date,2008,Agincourt_Reef_No_1,juvenile_ABUNDANCE.csv,Juveniles,False
2009,2009.0986301369865,date,2009,Agincourt_Reef_No_1,juvenile_ABUNDANCE.csv,Juveniles,False
2010,2009.8876712328768,date,2010,Agincourt_Reef_No_1,juvenile_ABUNDANCE.csv,Juveniles,False
2011,2011.0712328767124,date,2011,Agincourt_Reef_No_1,juvenile_ABUNDANCE.csv,Juveniles,False
2012,2012.128767123288,date,2012,Agincourt_Reef_No_1,juvenile_ABUNDANCE.csv,Juveniles,False
2013,2013.021917808219,date,2013,Agincourt_Reef_No_1,juvenile_ABUNDANCE.csv,Juveniles,False
2014,2014.2027397260276,date,2014,Agincourt_Reef_No_1,juvenile_ABUNDANCE.csv,Juveniles,False
2015,2015.172602739726,date,2015,Agincourt_Reef_No_1,juvenile_ABUNDANCE.csv,Juveniles,False
2016,2015.9150684931503,date,2016,Agincourt_Reef_No_1,juvenile_ABUNDANCE.csv,Juveniles,False
2017,2016.6958904109588,date,2017,Agincourt_Reef_No_1,juvenile_ABUNDANCE.csv,Juveniles,False
2018,2017.9561643835616,date,2018,Agincourt_Reef_No_1,juvenile_ABUNDANCE.csv,Juveniles,False
2019,2019.1315068493152,date,2019,Agincourt_Reef_No_1,juvenile_ABUNDANCE.csv,Juveniles,False
2020,2020.1068493150683,date,2020,Agincourt_Reef_No_1,juvenile_ABUNDANCE.csv,Juveniles,False
2021,2020.8493150684928,date,2021,Agincourt_Reef_No_1,juvenile_ABUNDANCE.csv,Juveniles,False
2023,2022.8328767123287,date,2023,Agincourt_Reef_No_1,juvenile_ABUNDANCE.csv,Juveniles,False
2024,2023.6657534246572,date,2024,Agincourt_Reef_No_1,juvenile_ABUNDANCE.csv,Juveniles,False
