reef_name,year,column,raw_record_n,retained_priority_num,retained_priority,value_min,value_max,value_mean,decimal_date_min,decimal_date_max,decimal_date_mean,source_file_n,aggregation_applied,is_hc_cover
Agincourt_Reef_No_1,1989,HC_cover,1,0,backup,11.82434663361459,11.82434663361459,11.82434663361459,1989.1397260273968,1989.1397260273968,1989.1397260273968,1,False,True
Agincourt_Reef_No_1,1994,ALGAE_cover,1,1,primary,55.53353017826971,55.53353017826971,55.53353017826971,1994.120547945205,1994.120547945205,1994.120547945205,1,False,False
Agincourt_Reef_No_1,1994,HC_cover,1,1,primary,17.524821997144844,17.524821997144844,17.524821997144844,1994.120547945205,1994.120547945205,1994.120547945205,1,False,True
Agincourt_Reef_No_1,1994,MACROALGAE_cover,1,1,primary,0.3645283110804083,0.3645283110804083,0.3645283110804083,1994.120547945205,1994.120547945205,1994.120547945205,1,False,False
Agincourt_Reef_No_1,1994,SOFT_CORAL_cover,1,1,primary,19.26884318087636,19.26884318087636,19.26884318087636,1994.120547945205,1994.120547945205,1994.120547945205,1,False,False
Agincourt_Reef_No_1,1995,ALGAE_cover,1,1,primary,46.56833733610468,46.56833733610468,46.56833733610468,1995.2767123287672,1995.2767123287672,1995.2767123287672,1,False,False
Agincourt_Reef_No_1,1995,Fish_Herbivores,1,1,primary,53.91217021567086,53.91217021567086,53.91217021567086,1995.2767123287672,1995.2767123287672,1995.2767123287672,1,False,False
Agincourt_Reef_No_1,1995,HC_cover,1,1,primary,24.083139345656853,24.083139345656853,24.083139345656853,1995.2767123287672,1995.2767123287672,1995.2767123287672,1,False,True
Agincourt_Reef_No_1,1995,MACROALGAE_cover,1,1,primary,0.4229962910722297,0.4229962910722297,0.4229962910722297,1995.2767123287672,1995.2767123287672,1995.2767123287672,1,False,False
Agincourt_Reef_No_1,1995,SOFT_CORAL_cover,1,1,primary,19.990968809219424,19.990968809219424,19.990968809219424,1995.2767123287672,1995.2767123287672,1995.2767123287672,1,False,False
Agincourt_Reef_No_1,1996,ALGAE_cover,1,1,primary,44.724743623133264,44.724743623133264,44.724743623133264,1996.0273972602736,1996.0273972602736,1996.0273972602736,1,False,False
Agincourt_Reef_No_1,1996,Fish_Herbivores,1,1,primary,50.58991979139116,50.58991979139116,50.58991979139116,1996.0273972602736,1996.0273972602736,1996.0273972602736,1,False,False
Agincourt_Reef_No_1,1996,HC_cover,1,1,primary,27.14210816711729,27.14210816711729,27.14210816711729,1996.0273972602736,1996.0273972602736,1996.0273972602736,1,False,True
Agincourt_Reef_No_1,1996,MACROALGAE_cover,1,1,primary,1.0398016336421634,1.0398016336421634,1.0398016336421634,1996.0273972602736,1996.0273972602736,1996.0273972602736,1,False,False
Agincourt_Reef_No_1,1996,SOFT_CORAL_cover,1,1,primary,23.54033452232026,23.54033452232026,23.54033452232026,1996.0273972602736,1996.0273972602736,1996.0273972602736,1,False,False
Agincourt_Reef_No_1,1997,ALGAE_cover,1,1,primary,41.75996630782845,41.75996630782845,41.75996630782845,1997.07397260274,1997.07397260274,1997.07397260274,1,False,False
Agincourt_Reef_No_1,1997,Fish_Herbivores,1,1,primary,43.25342770356015,43.25342770356015,43.25342770356015,1997.07397260274,1997.07397260274,1997.07397260274,1,False,False
Agincourt_Reef_No_1,1997,HC_cover,1,1,primary,27.29450309589769,27.29450309589769,27.29450309589769,1997.07397260274,1997.07397260274,1997.07397260274,1,False,True
Agincourt_Reef_No_1,1997,MACROALGAE_cover,1,1,primary,1.0914830040055057,1.0914830040055057,1.0914830040055057,1997.07397260274,1997.07397260274,1997.07397260274,1,False,False
Agincourt_Reef_No_1,1997,SOFT_CORAL_cover,1,1,primary,28.425971996250517,28.425971996250517,28.425971996250517,1997.07397260274,1997.07397260274,1997.07397260274,1,False,False
Agincourt_Reef_No_1,1998,ALGAE_cover,1,1,primary,39.331749246290585,39.331749246290585,39.331749246290585,1998.0712328767124,1998.0712328767124,1998.0712328767124,1,False,False
Agincourt_Reef_No_1,1998,Fish_Herbivores,1,1,primary,46.39334875362778,46.39334875362778,46.39334875362778,1998.07397260274,1998.07397260274,1998.07397260274,1,False,False
Agincourt_Reef_No_1,1998,HC_cover,1,1,primary,31.34126412075912,31.34126412075912,31.34126412075912,1998.0712328767124,1998.0712328767124,1998.0712328767124,1,False,True
Agincourt_Reef_No_1,1998,MACROALGAE_cover,1,1,primary,1.2583490249773637,1.2583490249773637,1.2583490249773637,1998.0712328767124,1998.0712328767124,1998.0712328767124,1,False,False
Agincourt_Reef_No_1,1998,SOFT_CORAL_cover,1,1,primary,26.323327197332723,26.323327197332723,26.323327197332723,1998.0712328767124,1998.0712328767124,1998.0712328767124,1,False,False
Agincourt_Reef_No_1,1999,ALGAE_cover,1,1,primary,32.85139617271858,32.85139617271858,32.85139617271858,1999.0767123287671,1999.0767123287671,1999.0767123287671,1,False,False
Agincourt_Reef_No_1,1999,Fish_Herbivores,1,1,primary,37.88221213482073,37.88221213482073,37.88221213482073,1999.0767123287671,1999.0767123287671,1999.0767123287671,1,False,False
Agincourt_Reef_No_1,1999,HC_cover,1,1,primary,35.806982350624786,35.806982350624786,35.806982350624786,1999.0767123287671,1999.0767123287671,1999.0767123287671,1,False,True
